,dates,T,T_est
116,2017-12-12 22:23:28,,
117,2017-12-12 23:45:08,,
118,2017-12-13 01:06:48,,
119,2017-12-13 02:28:28,,
120,2017-12-13 03:50:08,,
121,2017-12-13 05:11:48,,
122,2017-12-13 06:33:28,,
123,2017-12-13 07:55:08,13.307336296296295,12.852478957501068
124,2017-12-13 09:16:48,12.8366,11.2074693441391
125,2017-12-13 10:38:28,12.799088888888889,13.566539332270622
126,2017-12-13 12:00:08,13.277777777777777,13.284641981124878
127,2017-12-13 13:21:48,12.961666666666666,11.978588444846018
128,2017-12-13 14:43:28,13.63,12.881349972316197
129,2017-12-13 16:05:08,12.827177777777777,13.220314385635513
130,2017-12-13 17:26:48,12.66,13.324009784630366
131,2017-12-13 18:48:28,12.752550427350428,13.366783193979028
132,2017-12-13 20:10:08,,
133,2017-12-13 21:31:48,,
134,2017-12-13 22:53:28,,
135,2017-12-14 00:15:08,,
136,2017-12-14 01:36:48,,
137,2017-12-14 02:58:28,,
138,2017-12-14 04:20:08,,
139,2017-12-14 05:41:48,,
140,2017-12-14 07:03:28,13.619473504273504,13.153163180312136
141,2017-12-14 08:25:08,13.71579829059829,13.129427623238037
142,2017-12-14 09:46:48,13.812123076923077,13.105692066163938
143,2017-12-14 11:08:28,13.908447863247863,13.081956509089839
144,2017-12-14 12:30:08,14.004772649572649,13.05822095201574
145,2017-12-14 13:51:48,14.101097435897437,13.03448539494164
146,2017-12-14 15:13:28,14.197422222222222,13.010749837867541
147,2017-12-14 16:35:08,14.293747008547008,12.987014280793442
148,2017-12-14 17:56:48,14.390071794871794,12.963278723719345
149,2017-12-14 19:18:28,14.486396581196582,12.939543166645244
150,2017-12-14 20:40:08,,
151,2017-12-14 22:01:48,,
152,2017-12-14 23:23:28,,
153,2017-12-15 00:45:08,,
154,2017-12-15 02:06:48,,
155,2017-12-15 03:28:28,,
156,2017-12-15 04:50:08,,
157,2017-12-15 06:11:48,,
158,2017-12-15 07:33:28,15.353319658119657,12.725923152978353
159,2017-12-15 08:55:08,15.42,12.585201846701759
160,2017-12-15 10:16:48,15.754000000000001,15.527288436889648
161,2017-12-15 11:38:28,15.99,13.209041382585253
162,2017-12-15 13:00:08,15.897644444444445,15.148760664463044
163,2017-12-15 14:21:48,14.81,14.976282358169556
164,2017-12-15 15:43:28,15.5,14.10482507944107
165,2017-12-15 17:05:08,15.3,12.57099997997284
166,2017-12-15 18:26:48,15.162417777777778,10.591508665356026
167,2017-12-15 19:48:28,14.964602962962964,10.671567773931965
168,2017-12-15 21:10:08,,
169,2017-12-15 22:31:48,,
170,2017-12-15 23:53:28,,
